"WP_NAME,C,50","WARD,C,5","PRECINCT,C,5","DISTRICT,C,10","POP_2010,N,10,0","TOWN,C,35","TOWN_ID,N,5,0","AREA_SQMI,N,19,11","AREA_ACRES,N,19,11","YEAR,N,10,0","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
Randolph Town Precinct 10,,10,10,2692,RANDOLPH,244,2.259,1445.71,2012,5850597.44367,14082.1627986
Randolph Town Precinct 12,,12,12,2741,RANDOLPH,244,0.689,441.16,2012,1785304.79459,5927.1531867
Randolph Town Precinct 11,,11,11,2796,RANDOLPH,244,1.229,786.62,2012,3183355.35117,8645.73692984
Southwick Town Precinct 1,,1,1,3132,SOUTHWICK,279,15.725,10063.68,2012,40726432.4364,35550.7917416
Southwick Town Precinct 2,,2,2,3200,SOUTHWICK,279,7.943,5083.59,2012,20572634.6189,26781.8480551
Revere City Ward 2 Precinct 1,2,1,2-1,2757,REVERE,248,0.154,98.65,2012,399231.342941,3074.85868166
New Bedford City Ward 4 Precinct C,4,C,4-C,2571,NEW BEDFORD,201,0.42,268.91,2012,1088241.40976,9637.97744361
New Bedford City Ward 4 Precinct D,4,D,4-D,2740,NEW BEDFORD,201,0.288,184.39,2012,746191.657061,3693.95637954
New Bedford City Ward 4 Precinct E,4,E,4-E,2711,NEW BEDFORD,201,0.141,90.21,2012,365082.459312,2996.56843993
New Bedford City Ward 4 Precinct B,4,B,4-B,2712,NEW BEDFORD,201,0.23,147.03,2012,595024.180733,3768.41856103
New Bedford City Ward 5 Precinct A,5,A,5-A,2576,NEW BEDFORD,201,0.109,69.84,2012,282626.69697,2244.28349539
New Bedford City Ward 5 Precinct B,5,B,5-B,2527,NEW BEDFORD,201,0.214,137.21,2012,555268.190828,3934.07683283
New Bedford City Ward 5 Precinct C,5,C,5-C,2555,NEW BEDFORD,201,0.41,262.48,2012,1062233.20945,4470.99506847
New Bedford City Ward 5 Precinct D,5,D,5-D,2559,NEW BEDFORD,201,0.228,146.22,2012,591734.152261,3346.71925848
